x,y,z
0.038418,-0.056133,0.964336
0.035898,-0.054141,0.961914
0.042988,-0.053867,0.961406
0.041719,-0.057715,0.966250
0.034141,-0.051758,0.962090
0.039961,-0.053594,0.960977
0.038594,-0.055469,0.965547
0.039707,-0.058359,0.965586
0.041133,-0.056836,0.964082
0.039512,-0.057031,0.964902
0.040039,-0.055762,0.964746
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.000293,0.032012,0.133496
0.552363,0.655977,1.234961
0.617539,0.459648,1.299727
0.165117,0.004883,1.001367
0.049570,-0.053262,0.951504
0.033086,-0.057949,0.942344
0.035898,-0.058184,0.947539
0.037832,-0.055273,0.954063
0.035449,-0.055684,0.955645
0.033672,-0.057344,0.958691
0.035098,-0.056055,0.959551
0.035762,-0.053906,0.957773
0.038730,-0.055801,0.957578
0.037520,-0.054648,0.961055
0.037715,-0.055273,0.962656
0.038691,-0.053789,0.963320
0.035508,-0.052793,0.964082
0.039023,-0.051992,0.965137
0.039219,-0.056133,0.962871
0.039766,-0.056523,0.964629
0.039023,-0.053965,0.965977
0.041992,-0.053848,0.968125
0.039512,-0.057031,0.964902
0.040039,-0.055762,0.964746
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
-0.080371,0.032031,0.133477
0.004395,0.660508,1.232949
0.354023,0.461797,1.300156
0.169590,0.006660,1.001309
0.048789,-0.054883,0.951367
0.037051,-0.060645,0.945977
0.034297,-0.061543,0.947480
0.036523,-0.059766,0.953223
0.038770,-0.057871,0.958457
0.037891,-0.053594,0.959668
0.033945,-0.052637,0.961836
0.037031,-0.055352,0.962598
0.037578,-0.059707,0.962773
0.039375,-0.058691,0.965703
0.037441,-0.056719,0.965176
0.041602,-0.054922,0.969297
0.042598,-0.052480,0.967891
0.040859,-0.051230,0.964844
0.037676,-0.053359,0.963613
0.037461,-0.052773,0.963496
0.038613,-0.054551,0.962930
0.037422,-0.055488,0.967441
0.039512,-0.057031,0.964902
0.040039,-0.055762,0.964746
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.012773,-0.081621,0.127500
0.606660,-0.029766,0.971289
0.736797,0.362090,0.270293
0.397188,0.345547,-0.110469
0.129473,0.073770,0.550488
0.042500,-0.046562,0.905410
0.035918,-0.057324,0.949980
0.035332,-0.057559,0.955937
0.035410,-0.058223,0.961484
0.034863,-0.057949,0.963008
0.036758,-0.055938,0.960391
0.034395,-0.055137,0.960664
0.034043,-0.054004,0.962148
0.037500,-0.051621,0.965977
0.040547,-0.055332,0.965234
0.039336,-0.058652,0.964355
0.036992,-0.055859,0.964551
0.037539,-0.050879,0.967246
0.038184,-0.055098,0.967461
0.036426,-0.055801,0.968203
0.035176,-0.055117,0.968652
0.040195,-0.055078,0.967070
0.040625,-0.056973,0.963457
0.039082,-0.056777,0.963691
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.012813,0.034844,0.127539
0.609727,0.728437,0.977187
0.742344,0.740996,0.276230
0.396582,0.354336,-0.112852
0.128418,0.076563,0.549551
0.043867,-0.044453,0.905801
0.033691,-0.057090,0.947598
0.035098,-0.054023,0.955684
0.036855,-0.052168,0.957949
0.039062,-0.054258,0.961426
0.041367,-0.051934,0.964121
0.041953,-0.053145,0.964043
0.041328,-0.053437,0.963398
0.043691,-0.054355,0.964102
0.042051,-0.053711,0.965469
0.041875,-0.054668,0.965547
0.041133,-0.054922,0.965059
0.041289,-0.054707,0.966016
0.037969,-0.054629,0.965488
0.039824,-0.054023,0.968262
0.038555,-0.054668,0.966660
0.037461,-0.057715,0.969512
0.040625,-0.056973,0.963457
0.039082,-0.056777,0.963691
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.012754,0.034902,0.127500
0.603848,0.731094,0.968105
0.734902,0.742617,0.266680
0.398613,0.355605,-0.112109
0.130605,0.077852,0.548477
0.044336,-0.043535,0.905293
0.035176,-0.052949,0.944375
0.033555,-0.054355,0.951035
0.035762,-0.055137,0.955156
0.036367,-0.055586,0.959395
0.040801,-0.054727,0.959902
0.042383,-0.054707,0.964707
0.039609,-0.054473,0.963281
0.040664,-0.051836,0.963223
0.040684,-0.054023,0.962656
0.038047,-0.055352,0.960996
0.041719,-0.058516,0.961270
0.037578,-0.057871,0.960977
0.040098,-0.055352,0.961426
0.041758,-0.052168,0.960879
0.038594,-0.052031,0.961602
0.037461,-0.057715,0.969512
0.040625,-0.056973,0.963457
0.039082,-0.056777,0.963691
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
-0.070273,0.034824,0.127500
0.614336,0.733340,0.979570
0.478359,0.739434,0.268242
0.396172,0.356328,-0.113770
0.127500,0.076055,0.547090
0.041836,-0.042051,0.905156
0.036484,-0.053594,0.945137
0.033750,-0.055078,0.950488
0.032773,-0.055508,0.957910
0.035781,-0.052734,0.960605
0.039688,-0.050781,0.962461
0.041211,-0.053086,0.964570
0.039961,-0.057734,0.964219
0.041660,-0.058145,0.962520
0.041934,-0.056328,0.962773
0.048008,-0.054727,0.966973
0.038457,-0.055723,0.965820
0.039375,-0.055664,0.963398
0.035410,-0.057422,0.962578
0.038203,-0.057988,0.962461
0.038594,-0.052031,0.961602
0.037461,-0.057715,0.969512
0.040625,-0.056973,0.963457
0.039082,-0.056777,0.963691
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.012852,0.034824,0.127500
0.610352,0.724824,0.970000
0.741465,0.737305,0.269805
0.391328,0.355195,-0.111680
0.127383,0.072129,0.546367
0.046465,-0.047598,0.904687
0.040723,-0.055996,0.946895
0.038730,-0.059141,0.952129
0.040723,-0.057871,0.957813
0.039512,-0.056895,0.961094
0.035430,-0.053320,0.961035
0.040801,-0.053105,0.964219
0.037109,-0.052891,0.964922
0.033066,-0.053613,0.964512
0.038848,-0.055684,0.965742
0.036680,-0.055879,0.969141
0.037129,-0.058223,0.968184
0.038164,-0.057090,0.966406
0.038789,-0.058457,0.965566
0.040039,-0.055586,0.967715
0.041641,-0.054004,0.967148
0.037461,-0.057715,0.969512
0.040625,-0.056973,0.963457
0.039082,-0.056777,0.963691
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.012852,0.035801,0.127500
0.612363,0.735000,0.970938
0.745059,0.742559,0.269102
0.397012,0.362891,-0.110254
0.127207,0.080469,0.552441
0.042031,-0.040430,0.909277
0.038906,-0.051348,0.950195
0.038789,-0.051289,0.953398
0.036348,-0.051016,0.955918
0.036660,-0.055488,0.960352
0.035254,-0.055586,0.961309
0.036680,-0.051660,0.965410
0.038320,-0.050879,0.964707
0.042324,-0.056602,0.963340
0.039766,-0.057617,0.962480
0.038848,-0.052871,0.961738
0.040000,-0.051641,0.960781
0.043164,-0.054629,0.961484
0.043535,-0.058145,0.962539
0.041973,-0.057520,0.961758
0.035586,-0.055098,0.962852
0.032344,-0.058164,0.963301
0.034453,-0.058086,0.964258
0.039082,-0.056777,0.963691
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.000293,0.032031,0.133496
0.554375,0.658320,1.233867
0.620332,0.461191,1.298340
0.166445,0.002559,0.999336
0.048906,-0.058008,0.952793
0.036289,-0.055840,0.947871
0.034688,-0.056230,0.952324
0.033770,-0.055996,0.957520
0.036270,-0.055020,0.960703
0.038809,-0.057637,0.960430
0.034766,-0.055762,0.964512
0.035352,-0.055059,0.966758
0.038301,-0.054844,0.965801
0.039336,-0.053633,0.964512
0.039434,-0.053145,0.965605
0.038281,-0.053555,0.965527
0.038008,-0.050938,0.966738
0.038984,-0.053711,0.969551
0.039512,-0.052910,0.968633
0.042148,-0.055078,0.966348
0.042598,-0.055371,0.963418
0.037480,-0.056055,0.964336
0.034453,-0.058086,0.964258
0.039082,-0.056777,0.963691
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.012715,0.034863,0.127500
0.603398,0.730723,0.971562
0.737734,0.746230,0.271113
0.399668,0.358633,-0.111504
0.125508,0.075293,0.551387
0.039922,-0.043535,0.906074
0.033945,-0.057793,0.946406
0.034629,-0.053887,0.956387
0.035898,-0.055137,0.961406
0.035176,-0.055313,0.957676
0.034375,-0.054082,0.960430
0.037441,-0.054082,0.963145
0.041445,-0.054785,0.962539
0.041191,-0.055684,0.965000
0.039434,-0.055449,0.965840
0.035684,-0.053574,0.964551
0.037305,-0.053652,0.966465
0.039590,-0.055781,0.967266
0.040000,-0.054980,0.965430
0.037461,-0.056563,0.966152
0.042598,-0.055371,0.963418
0.037480,-0.056055,0.964336
0.034453,-0.058086,0.964258
0.039082,-0.056777,0.963691
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.012852,-0.081621,0.127422
0.612930,-0.032207,0.967109
0.746367,0.358027,0.265469
0.395371,0.346055,-0.112402
0.123906,0.071367,0.549043
0.040781,-0.046836,0.907773
0.032930,-0.055195,0.946855
0.032695,-0.053984,0.950840
0.037148,-0.053750,0.955391
0.037988,-0.055508,0.958223
0.037930,-0.055293,0.960059
0.039023,-0.055996,0.962813
0.039219,-0.052520,0.963379
0.039473,-0.051816,0.964863
0.038496,-0.054961,0.965137
0.039668,-0.053125,0.967090
0.038574,-0.052520,0.967891
0.039453,-0.052520,0.965996
0.040547,-0.054355,0.966406
0.039551,-0.056621,0.967852
0.042598,-0.055371,0.963418
0.037480,-0.056055,0.964336
0.034453,-0.058086,0.964258
0.039082,-0.056777,0.963691
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.012852,0.034844,0.127500
0.610625,0.730254,0.972480
0.744258,0.743262,0.270195
0.394414,0.356563,-0.111738
0.124551,0.075781,0.552480
0.043398,-0.045215,0.907598
0.035000,-0.056914,0.948184
0.034668,-0.055215,0.953555
0.035078,-0.054258,0.958477
0.036914,-0.055762,0.960547
0.035254,-0.056484,0.961621
0.036484,-0.057090,0.966094
0.039180,-0.055352,0.964199
0.041094,-0.057188,0.966777
0.040586,-0.055938,0.967051
0.038965,-0.052539,0.966660
0.037832,-0.049609,0.963809
0.037187,-0.050762,0.964453
0.036367,-0.052910,0.965859
0.037441,-0.051270,0.965645
0.038262,-0.053945,0.965566
0.039062,-0.051914,0.964160
0.034453,-0.058086,0.964258
0.039082,-0.056777,0.963691
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.012852,-0.081641,0.127500
0.611074,-0.035293,0.975352
0.746113,0.359668,0.275977
0.399922,0.351699,-0.111152
0.130801,0.077539,0.549883
0.044961,-0.043086,0.907402
0.035430,-0.051582,0.948867
0.038223,-0.052637,0.955059
0.039902,-0.051270,0.959082
0.034863,-0.054180,0.960781
0.031660,-0.054824,0.960840
0.038906,-0.056328,0.962363
0.040254,-0.056582,0.965586
0.040781,-0.055859,0.967500
0.043164,-0.054902,0.967910
0.038281,-0.053672,0.967363
0.037578,-0.054102,0.966309
0.038418,-0.053555,0.965781
0.036758,-0.051191,0.965977
0.036445,-0.050254,0.963809
0.038262,-0.053945,0.965566
0.039062,-0.051914,0.964160
0.034453,-0.058086,0.964258
0.039082,-0.056777,0.963691
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.000293,-0.083008,0.133496
0.553105,-0.109434,1.235742
0.618066,0.071387,1.303613
0.162090,0.002168,1.002695
0.051074,-0.049863,0.950645
0.039902,-0.055273,0.947598
0.033809,-0.055859,0.950664
0.030215,-0.056602,0.955957
0.030762,-0.053789,0.958125
0.039668,-0.056309,0.961250
0.036387,-0.054102,0.959219
0.039941,-0.052598,0.962500
0.038965,-0.056699,0.962969
0.036289,-0.055039,0.965156
0.041816,-0.051230,0.966387
0.039668,-0.051660,0.961699
0.038086,-0.049727,0.965762
0.039375,-0.051758,0.964219
0.039727,-0.054551,0.962246
0.043086,-0.056484,0.962324
0.041875,-0.053477,0.965742
0.035469,-0.049863,0.965098
0.039570,-0.051563,0.963477
0.039082,-0.056777,0.963691
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.012813,0.034902,0.127500
0.608926,0.732422,0.971543
0.739746,0.742793,0.271328
0.395879,0.355488,-0.108926
0.127793,0.077539,0.555156
0.042129,-0.043457,0.909668
0.036973,-0.053203,0.945898
0.035137,-0.053340,0.948496
0.036230,-0.056563,0.954883
0.037539,-0.056641,0.963496
0.038320,-0.053281,0.967266
0.035625,-0.054375,0.965625
0.036328,-0.052500,0.966504
0.039043,-0.052598,0.966230
0.041738,-0.048809,0.965156
0.041777,-0.048398,0.965332
0.039316,-0.052461,0.967070
0.039316,-0.051367,0.967031
0.040703,-0.053340,0.966680
0.038945,-0.053184,0.967871
0.041875,-0.053477,0.965742
0.041348,-0.049863,0.965098
0.038691,-0.052949,0.967285
0.034746,-0.053770,0.966992
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.003125,0.032031,0.133496
0.558789,0.662734,1.236309
0.616699,0.468945,1.303730
0.167539,0.008984,1.001445
0.045996,-0.050957,0.952402
0.035332,-0.058281,0.949004
0.031152,-0.055273,0.953555
0.034297,-0.053477,0.957461
0.037891,-0.052520,0.957793
0.040117,-0.057500,0.962734
0.039941,-0.057012,0.962852
0.039258,-0.054512,0.961895
0.037207,-0.052285,0.965273
0.035430,-0.052949,0.967246
0.035723,-0.055508,0.965098
0.038203,-0.054648,0.964785
0.039082,-0.053555,0.965488
0.041250,-0.051934,0.964922
0.039785,-0.052617,0.965742
0.035254,-0.058066,0.966465
0.036895,-0.057266,0.963730
0.039551,-0.056172,0.962891
0.039746,-0.056953,0.966758
0.034746,-0.053770,0.966992
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.012852,0.034844,0.039434
0.611270,0.729219,0.776992
0.744707,0.743789,0.364180
0.397617,0.357754,-0.106836
0.130117,0.076523,0.553477
0.044004,-0.043574,0.905762
0.035742,-0.055176,0.944082
0.037734,-0.055430,0.949922
0.037402,-0.054805,0.954434
0.037109,-0.056602,0.956348
0.038477,-0.057598,0.961055
0.039023,-0.055859,0.963711
0.038027,-0.055801,0.960605
0.036250,-0.052949,0.963359
0.035098,-0.052129,0.963965
0.033555,-0.051738,0.962910
0.037891,-0.052461,0.964355
0.041172,-0.052793,0.963848
0.041484,-0.056133,0.966094
0.039375,-0.048848,0.967852
0.041348,-0.048848,0.965703
0.042070,-0.052402,0.965762
0.039746,-0.056953,0.966758
0.034746,-0.053770,0.966992
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.012773,0.034902,0.123633
0.607676,0.733516,0.978633
0.736895,0.745508,0.269941
0.395898,0.357402,-0.113496
0.130176,0.077227,0.550488
0.043906,-0.043691,0.906094
0.036855,-0.056465,0.947480
0.037949,-0.053066,0.954805
0.037148,-0.057090,0.960430
0.035508,-0.057695,0.960000
0.036504,-0.055605,0.959980
0.038457,-0.053008,0.961719
0.040703,-0.054883,0.964512
0.035254,-0.056895,0.966328
0.035762,-0.056016,0.965254
0.036875,-0.053711,0.963125
0.031113,-0.053516,0.965176
0.037852,-0.052715,0.966211
0.042734,-0.053027,0.966660
0.039316,-0.052363,0.966094
0.037812,-0.054551,0.966133
0.042070,-0.052402,0.965762
0.039746,-0.056953,0.966758
0.034746,-0.053770,0.966992
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.000293,-0.082930,0.129453
0.557344,-0.104824,1.234258
0.624473,0.072910,1.307148
0.168184,-0.001836,0.992812
0.048281,-0.051738,0.953047
0.035723,-0.057832,0.947246
0.034941,-0.059961,0.950020
0.037129,-0.058457,0.955840
0.033672,-0.054531,0.959336
0.032656,-0.055195,0.960020
0.038027,-0.056504,0.961133
0.040586,-0.058184,0.964121
0.038652,-0.056855,0.967617
0.039395,-0.058125,0.966328
0.040371,-0.055176,0.964883
0.039863,-0.053750,0.964746
0.039434,-0.050234,0.962754
0.040645,-0.052148,0.961680
0.039043,-0.052617,0.961504
0.039727,-0.052227,0.964004
0.036738,-0.054395,0.965410
0.037480,-0.056406,0.965449
0.039082,-0.055527,0.966621
0.034746,-0.053770,0.966992
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.012773,0.034922,0.127422
0.608535,0.734082,0.967656
0.738066,0.747539,0.265234
0.392813,0.360312,-0.112090
0.126699,0.079375,0.549355
0.039375,-0.043906,0.904512
0.031660,-0.055566,0.943457
0.037187,-0.056211,0.952773
0.034980,-0.054434,0.956426
0.033418,-0.053242,0.958457
0.039199,-0.056816,0.964902
0.039785,-0.053750,0.965938
0.038711,-0.053203,0.965645
0.038203,-0.057090,0.965391
0.038848,-0.055684,0.964121
0.038340,-0.055684,0.965645
0.037109,-0.057949,0.968242
0.037598,-0.058105,0.967422
0.037969,-0.057871,0.966543
0.033926,-0.055273,0.966504
0.035625,-0.056328,0.963672
0.037656,-0.059199,0.962168
0.039082,-0.055527,0.966621
0.034746,-0.053770,0.966992
