x,y,z
-0.0860156,0.0764258,0.970625
-0.0783594,0.0797266,0.971465
-0.0781055,0.0778711,0.97
-0.084375,0.0763672,0.968242
-0.0851172,0.0718359,0.969551
-0.0871484,0.0739648,0.971484
-0.0899609,0.0773633,0.973516
-0.0861523,0.074375,0.974102
-0.0811523,0.0733594,0.973496
-0.0879102,0.0720117,0.97125
-0.091543,0.071543,0.969492
-0.0869922,0.0742578,0.968184
-0.0896484,0.0767773,0.968672
-0.0948633,0.07625,0.971465
-0.092793,0.0755273,0.973047
-0.0921094,0.0751172,0.96916
-0.0898047,0.0726563,0.966699
-0.0887109,0.0720313,0.966836
-0.0932422,0.0720313,0.966953
-0.0950781,0.0728125,0.965781
-0.0938672,0.0721289,0.966992
-0.0906055,0.074043,0.967891
0,0,0
-0.01,0.0358398,0.133477
0.327051,0.717656,1.20814
0.322383,0.566523,1.23469
0.107188,0.148398,1.10051
0.0383984,0.102324,1.125
0.0216797,0.0960938,1.10316
0.0145703,0.0953906,1.07959
0.00677734,0.0958203,1.05254
0.00617188,0.0945898,1.03133
0.00703125,0.0954297,1.01535
0.00501953,0.0925977,1.00732
0.00324219,0.0940234,1.0017
0.00234375,0.0934766,0.997754
0.000371094,0.0917773,0.99377
0.0003125,0.09125,0.990195
0.000234375,0.0906445,0.983047
0.00251953,0.0883008,0.979434
-0.000136719,0.0904883,0.973359
-0.00142578,0.0928125,0.970898
-0.00386719,0.0883789,0.973711
-0.00707031,0.0858594,0.972187
-0.00314453,0.0897461,0.968926
-0.00435547,0.092207,0.967637
-0.00615234,0.0901563,0.963418
-0.00453125,0.0887109,0.959609
-0.00498047,0.0855469,0.956562
-0.00294922,0.0839453,0.954297
-0.00164062,0.0825391,0.95375
-0.00279297,0.0828516,0.955859
-0.0046875,0.083418,0.95707
-0.00439453,0.0826172,0.956953
-0.0025,0.0874414,0.952207
-0.00242187,0.0888477,0.952754
-0.00806641,0.0858594,0.953535
-0.00490234,0.0824805,0.953262
-0.00605469,0.0833398,0.958574
-0.00675781,0.0853125,0.96082
-0.00373047,0.0849609,0.958535
-0.00277344,0.0841211,0.957598
-0.00207031,0.0851758,0.961621
-0.00484375,0.0837695,0.963438
-0.00892578,0.0815234,0.964199
-0.00455078,0.0842578,0.962344
-0.00623047,0.0832227,0.960996
-0.00623047,0.0791992,0.960059
-0.00582031,0.0807031,0.961641
-0.00322266,0.0850781,0.963359
-0.00638672,0.0836523,0.962695
-0.00853516,0.0806055,0.961406
-0.00791016,0.075957,0.963945
-0.00490234,0.0744922,0.963008
-0.00390625,0.0768359,0.960293
-0.00789063,0.0750781,0.95834
-0.00908203,0.0737891,0.95916
-0.00558594,0.0794531,0.959688
-0.00765625,0.08,0.957773
-0.0110547,0.080332,0.958906
-0.0112695,0.0818164,0.958945
-0.00501953,0.081875,0.958008
-0.0103125,0.0787695,0.956191
-0.00904297,0.07625,0.95543
-0.00558594,0.0791016,0.958047
-0.00662109,0.0800977,0.958203
-0.00830078,0.0794141,0.95793
-0.0111523,0.0831641,0.957676
-0.00742188,0.0815039,0.958027
-0.00533203,0.0804492,0.96041
-0.00605469,0.0811523,0.960645
-0.00505859,0.0847656,0.960703
-0.006875,0.0847461,0.964238
-0.00939453,0.0834375,0.962012
-0.00753906,0.0827734,0.96127
-0.00324219,0.084082,0.963848
-0.00171875,0.0872656,0.965313
-5.85937e-05,0.0858398,0.965195
-0.00287109,0.0875586,0.964199
-0.00638672,0.0852734,0.965703
-0.00316406,0.0822266,0.972812
-0.00613281,0.0815039,0.97248
-0.00921875,0.0856836,0.973848
-0.00277344,0.0885742,0.975156
-0.006875,0.088457,0.979082
-0.0111328,0.087832,0.980684
-0.00919922,0.0833594,0.978438
-0.00808594,0.0879102,0.977109
-0.00585938,0.0888281,0.975801
-0.00509766,0.0870898,0.973652
-0.00603516,0.0884766,0.972793
-0.00464844,0.08625,0.969785
0.00341797,0.0824805,0.962617
0.00257813,0.0856055,0.960645
-0.00626953,0.0853711,0.962695
-0.0084375,0.0832031,0.961719
-0.00791016,0.0804297,0.961113
-0.00890625,0.0841992,0.961543
-0.0110352,0.0829883,0.964746
-0.00595703,0.0819141,0.96377
-0.00613281,0.0846289,0.963066
-0.0115039,0.0832617,0.964805
-0.00753906,0.0841406,0.966719
-0.00673828,0.0808984,0.963594
-0.00587891,0.0807031,0.961445
-0.00228516,0.0868164,0.958223
-0.00310547,0.0889453,0.95832
-0.00148438,0.0864258,0.956113
-0.00232422,0.0824414,0.956875
-0.00486328,0.085293,0.956523
-0.00611328,0.0850195,0.956602
-0.00742188,0.0850781,0.956953
-0.00439453,0.086543,0.956758
-0.00259766,0.087207,0.953145
-0.00216797,0.0879883,0.954551
-0.00527344,0.0874219,0.958438
-0.00634766,0.084043,0.959746
-0.005625,0.0818555,0.959844
-0.00375,0.0825391,0.960352
-0.00267578,0.0810547,0.961074
-0.00349609,0.0822266,0.95998
-0.00335937,0.0866797,0.960742
-0.00511719,0.0857813,0.964727
-0.0104102,0.0861328,0.964258
-0.00708984,0.0879297,0.965059
-0.00345703,0.087793,0.965645
-0.00376953,0.0860937,0.967637
-0.00826172,0.0848633,0.967598
-0.00636719,0.0857031,0.969961
-0.00583984,0.0836719,0.969902
-0.00421875,0.0844531,0.967207
-0.00419922,0.0871289,0.968086
-0.00544922,0.0861523,0.97209
-0.00634766,0.0855469,0.97918
-0.00279297,0.0870117,0.978379
-0.00240234,0.0855273,0.977012
-0.00453125,0.0864648,0.980547
-0.0103516,0.0863672,0.979277
-0.0103125,0.0874609,0.982559
-0.0104102,0.0881836,0.982676
-0.0105273,0.0842578,0.982656
-0.00794922,0.0817188,0.983828
-0.00824219,0.0827539,0.982559
-0.00611328,0.0884375,0.985293
-0.00392578,0.0900391,0.987578
-0.00541016,0.0917969,0.985801
-0.00693359,0.0900195,0.985449
-0.0111719,0.0900781,0.986348
-0.00894531,0.0902734,0.985605
-0.0053125,0.0930469,0.984727
-0.00517578,0.0883594,0.985879
-0.00580078,0.0826758,0.986816
-0.0123633,0.0844141,0.985273
-0.00640625,0.0866602,0.985039
-0.00576172,0.0870703,0.981523
-0.00515625,0.085293,0.981094
-0.00603516,0.0878125,0.979375
-0.00740234,0.0852539,0.9775
-0.00730469,0.0858008,0.975996
-0.00947266,0.0871094,0.975254
-0.00994141,0.0845508,0.972227
-0.00894531,0.0862109,0.969004
-0.010957,0.0862109,0.96875
-0.00804688,0.0859961,0.970508
-0.00849609,0.0885742,0.968262
-0.00316406,0.0901172,0.965098
-0.00621094,0.0902539,0.963203
-0.0106445,0.0898438,0.959863
-0.00542969,0.0888281,0.96209
-0.0078125,0.0870117,0.963184
-0.00462891,0.0879883,0.963281
-0.00769531,0.0853125,0.959023
-0.00603516,0.0859961,0.958496
-0.005,0.0900195,0.958203
-0.00990234,0.0861328,0.960469
-0.00857422,0.085293,0.958379
-0.00808594,0.0829492,0.96127
-0.00833984,0.0820312,0.961016
-0.00683594,0.0873828,0.960352
-0.00794922,0.0867383,0.960527
-0.00974609,0.0864258,0.957793
-0.00605469,0.0879297,0.95832
-0.00517578,0.0883594,0.957051
-0.00580078,0.0826758,0.986816
-0.0123633,0.0844141,0.985273
-0.00640625,0.0866602,0.985039
-0.00576172,0.0870703,0.981523
-0.00515625,0.085293,0.981094
-0.00603516,0.0878125,0.979375
-0.00740234,0.0852539,0.9775
-0.00730469,0.0858008,0.975996
-0.00947266,0.0871094,0.975254
-0.00994141,0.0845508,0.972227
-0.00894531,0.0862109,0.969004
-0.010957,0.0862109,0.96875
-0.00804688,0.0859961,0.970508
-0.00849609,0.0885742,0.968262
-0.00316406,0.0901172,0.965098
-0.00621094,0.0902539,0.963203
-0.0106445,0.0898438,0.959863
-0.00542969,0.0888281,0.96209
-0.0078125,0.0870117,0.963184
-0.00462891,0.0879883,0.963281
-0.00769531,0.0853125,0.959023
-0.00603516,0.0859961,0.958496
-0.005,0.0900195,0.958203
-0.00990234,0.0861328,0.960469
-0.00857422,0.085293,0.958379
-0.00808594,0.0829492,0.96127
-0.00833984,0.0820312,0.961016
-0.00683594,0.0873828,0.960352
-0.00794922,0.0867383,0.960527
-0.00974609,0.0864258,0.957793
-0.00605469,0.0879297,0.95832
-0.00414063,0.0843164,0.957051
-0.0071875,0.0847461,0.957031
-0.00542969,0.081875,0.956582
-0.00785156,0.0780469,0.958301
-0.00642578,0.0795508,0.95709
-0.00376953,0.0826172,0.955059
-0.0053125,0.0782812,0.950723
-0.00955078,0.0800977,0.95002
-0.00919922,0.0830859,0.950527
-0.00695313,0.0820898,0.951602
-0.00746094,0.0795508,0.954941
-0.0122266,0.0826563,0.955605
-0.00798828,0.0850977,0.956348
-0.00464844,0.0826367,0.957949
-0.00564453,0.0837109,0.957656
-0.00654297,0.0823633,0.963535
-0.00873047,0.0823828,0.964082
-0.00744141,0.0825195,0.964961
-0.00679687,0.0862695,0.962793
-0.0071875,0.0868164,0.968477
-0.00964844,0.0878125,0.969824
-0.0084375,0.08875,0.969297
-0.00480469,0.086543,0.969746
-0.00515625,0.0851953,0.972734
-0.00761719,0.0851758,0.975293
-0.0075,0.0864063,0.977168
-0.00675781,0.0847656,0.976797
-0.00849609,0.0851953,0.975195
-0.0103906,0.0884766,0.976211
-0.0107227,0.085957,0.973965
-0.00943359,0.0861914,0.974375
-0.0132617,0.0854687,0.97668
-0.0116406,0.0891797,0.974746
-0.00947266,0.0883789,0.973926
-0.0104102,0.0880273,0.976172
-0.0118164,0.0852539,0.977227
-0.0118945,0.0849219,0.978516
-0.0110352,0.0863086,0.980273
-0.00935547,0.0904688,0.977949
-0.00960937,0.0875391,0.97459
-0.00761719,0.0867969,0.973535
-0.00527344,0.0838281,0.973809
-0.00275391,0.0860937,0.973887
-0.00464844,0.0871289,0.969727
-0.00744141,0.0854102,0.969766
-0.00996094,0.0852148,0.96873
-0.00828125,0.0890625,0.964785
-0.00464844,0.0876367,0.962891
-0.00710938,0.0906641,0.963555
-0.00697266,0.0932812,0.961211
-0.00488281,0.0909375,0.960723
-0.00583984,0.0871875,0.961934
-0.00892578,0.0840234,0.962187
-0.00939453,0.0825391,0.960293
-0.0106836,0.0851172,0.961445
-0.00833984,0.0854883,0.962422
-0.00830078,0.0860742,0.963066
-0.00921875,0.0852344,0.962852
-0.011875,0.0866406,0.963086
-0.0111133,0.0871289,0.960781
-0.00775391,0.0880078,0.960742
-0.00951172,0.0850977,0.95998
-0.0117773,0.0849414,0.960254
-0.00925781,0.0816211,0.961836
-0.00794922,0.0828125,0.962109
-0.00757812,0.0829688,0.964492
-0.00621094,0.0866992,0.965977
-0.00611328,0.0863477,0.966152
-0.00716797,0.0859766,0.966035
-0.00699219,0.0838867,0.966758
-0.00798828,0.0862891,0.963828
-0.0120703,0.0851758,0.96375
-0.0102344,0.0848437,0.962773
-0.00654297,0.0841992,0.96543
-0.00552734,0.0853711,0.96418
-0.01,0.0858203,0.963516
-0.00773437,0.0816211,0.962559
-0.00287109,0.0847656,0.963203
-0.00626953,0.0874023,0.964668
-0.00552734,0.0885156,0.965195
-0.00724609,0.0831641,0.962871
-0.0102734,0.082207,0.962441
-0.00509766,0.0827539,0.963301
-0.0071875,0.0857031,0.963145
-0.0103516,0.0846484,0.965957
-0.00542969,0.0876953,0.966465
-0.00462891,0.084043,0.966816
-0.00417969,0.0848242,0.965449
-0.00917969,0.0874805,0.965645
-0.0103906,0.0862695,0.96709
-0.0112305,0.0861914,0.968691
-0.00498047,0.0905273,0.969102
-0.00714844,0.0919531,0.968398
-0.00677734,0.0882813,0.965703
-0.0100195,0.0867383,0.966094
-0.0130664,0.0843359,0.964355
-0.0113477,0.0838867,0.968594
-0.00322266,0.0850195,0.966836
-0.00435547,0.0847266,0.966055
-0.00748047,0.0831445,0.966621
-0.00572266,0.0868555,0.969961
-0.00847656,0.0895313,0.970098
-0.00658203,0.0854883,0.96709
-0.0104492,0.0856055,0.966992
-0.0107031,0.0875391,0.970176
-0.00552734,0.0869336,0.968652
-0.00542969,0.0881055,0.968516
-0.00710938,0.0882422,0.969297
-0.00960937,0.0875195,0.966621
-0.0119922,0.0865234,0.964551
-0.00988281,0.0898438,0.966816
-0.00623047,0.0901172,0.967246
-0.00369141,0.0847266,0.96791
